,P1,P1C0,P1C1,P1C2,P1C3,P1C4,P1C5,P1C6,PIC7,P2,P2C0,P2C1,P2C2,P2C3,P2C4,P2C5,P2C6,P2C7,P3,P3C0,P3C1,P3C2,P3C3,P3C4,P3C5,P3C6,P3C7,P4,P4C0,P4C1,P4C2,P4C3,P4C4,P4C5,P4C6,P4C7,P5,P5C0,P5C1,P5C2,P5C3,P5C4,P5C5,P5C6,P5C7,Tot prob 0,Tot prob 1,Tot prob 2,Tot prob 3,Tot prob 4,Tot prob 5,Tot prob 6,Tot prob 7,NRating,Rating
20,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Kevin Garnett* 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,1.0,0.0,1.0,12.9,12.9
21,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,1.0,0.0,1.0,-5.8,-5.8
22,Tony Allen 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.865,0.0,0.205,0.004,0.925,2.0,0.0,1.0,6.272540625,5.2
23,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Kevin Garnett* 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,Brian Scalabrine 2009BOS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073,0.0,0.213,0.997,1.716,1.0,0.0,0.0,19.384384375000003,26.6
24,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Tony Allen 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.938,0.0,0.0,0.009000000000000001,1.051,2.0,0.0,1.0,13.570375000000002,17.1
25,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,0.0,0.0,2.0,5.6551583333333335,2.1
26,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Glen Davis 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kevin Garnett* 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,2.0,0.0,0.0,12.960592708333332,17.8
27,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Kevin Garnett* 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Leon Powe 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,0.073,0.0,0.213,0.997,1.716,1.0,0.0,1.0,16.190675000000002,28.7
28,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,Rajon Rondo 2009BOS,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0.0,Brian Scalabrine 2009BOS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073,0.0,0.213,0.997,1.716,0.0,0.0,1.0,13.77078125,24.8
29,Ray Allen* 2009BOS,0.073,0.0,0.0,0.005,0.9209999999999999,0.0,0.0,0.0,Kevin Garnett* 2009BOS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Eddie House 2009BOS,0.865,0.0,0.0,0.004,0.13,0.0,0.0,0.0,Kendrick Perkins 2009BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Paul Pierce 2009BOS,0.0,0.0,0.205,0.0,0.795,0.0,0.0,0.0,0.938,0.0,0.205,0.009000000000000001,1.846,1.0,0.0,1.0,10.17088125,11.9
