,Unnamed: 0,Rk,Player1,Player2,Player3,Player4,Player5,MP,PTS,New PTS,Tm
492,492,507,Willie Cauley-Stein 2016,Darren Collison 2016,DeMarcus Cousins 2016,Rudy Gay 2016,Rajon Rondo 2016,70.25,23.6,10.499192708333336,SAC
493,493,508,Marco Belinelli 2016,Omri Casspi 2016,Darren Collison 2016,Rudy Gay 2016,Kosta Koufos 2016,70.01,-1.5,1.32101875,SAC
494,494,509,Quincy Acy 2016,Darren Collison 2016,DeMarcus Cousins 2016,Rudy Gay 2016,Rajon Rondo 2016,68.02,5.7,3.9177875,SAC
495,495,510,Omri Casspi 2016,Willie Cauley-Stein 2016,DeMarcus Cousins 2016,Ben McLemore 2016,Rajon Rondo 2016,60.01,4.7,3.4900916666666677,SAC
496,496,511,Marco Belinelli 2016,Omri Casspi 2016,Darren Collison 2016,DeMarcus Cousins 2016,Rudy Gay 2016,58.55,12.8,5.9467864583333325,SAC
497,497,512,Marco Belinelli 2016,Omri Casspi 2016,DeMarcus Cousins 2016,Kosta Koufos 2016,Rajon Rondo 2016,54.52,25.0,9.204120833333334,SAC
498,498,513,Marco Belinelli 2016,Omri Casspi 2016,DeMarcus Cousins 2016,Rudy Gay 2016,Rajon Rondo 2016,53.27,11.5,5.314954166666666,SAC
499,499,514,Omri Casspi 2016,Rudy Gay 2016,Kosta Koufos 2016,Ben McLemore 2016,Rajon Rondo 2016,50.25,13.9,5.8084375,SAC
500,500,515,Marco Belinelli 2016,Omri Casspi 2016,Darren Collison 2016,Kosta Koufos 2016,Rajon Rondo 2016,47.38,-2.9,1.4988583333333332,SAC
501,501,516,Marco Belinelli 2016,Willie Cauley-Stein 2016,DeMarcus Cousins 2016,Rudy Gay 2016,Rajon Rondo 2016,44.51,-37.6,-6.458101041666667,SAC
502,502,517,Marco Belinelli 2016,Omri Casspi 2016,Rudy Gay 2016,Kosta Koufos 2016,Rajon Rondo 2016,44.35,-20.1,-2.3819999999999997,SAC
503,503,518,Marco Belinelli 2016,Omri Casspi 2016,Darren Collison 2016,DeMarcus Cousins 2016,Rajon Rondo 2016,40.34,19.7,6.461345833333335,SAC
504,504,519,Quincy Acy 2016,DeMarcus Cousins 2016,Seth Curry 2016,Rudy Gay 2016,Rajon Rondo 2016,40.23,21.6,6.849853125000001,SAC
505,505,520,LaMarcus Aldridge 2016,Tim Duncan* 2016,Danny Green 2016,Kawhi Leonard 2016,Tony Parker 2016,695.47,9.0,9.0,SAS
506,506,521,LaMarcus Aldridge 2016,Danny Green 2016,Kawhi Leonard 2016,Tony Parker 2016,David West 2016,185.06,4.8,4.9924765625,SAS
507,507,522,LaMarcus Aldridge 2016,Tim Duncan* 2016,Manu Ginóbili 2016,Kawhi Leonard 2016,Tony Parker 2016,121.01,14.8,13.071467447916667,SAS
508,508,523,LaMarcus Aldridge 2016,Boris Diaw 2016,Manu Ginóbili 2016,Kawhi Leonard 2016,Patty Mills 2016,113.1,14.1,12.4665234375,SAS
509,509,524,Tim Duncan* 2016,Danny Green 2016,Kawhi Leonard 2016,Tony Parker 2016,David West 2016,80.37,17.5,13.21212890625,SAS
510,510,525,Kyle Anderson 2016,Boris Diaw 2016,Manu Ginóbili 2016,Patty Mills 2016,David West 2016,70.4,-4.5,4.762500000000002,SAS
511,511,526,LaMarcus Aldridge 2016,Boris Diaw 2016,Danny Green 2016,Kawhi Leonard 2016,Tony Parker 2016,62.34,22.6,14.175476562500002,SAS
